Products,aws_eng_name,aws_chn_name,eng_description,chn_description,
,AWS Managed Services适用于 AWS 的基础设施运维管理,,,,
,AWS OpsWorks利用 Chef 和 Puppet 实现操作自动化,,,,
,AWS Organizations集中管控所有 AWS 账户,,,,
,AWS Personal Health DashboardAWS 服务运行状况的个性化视图,,,,
,AWS Proton（预览版）自动化的容器和无服务器部署管理,,,,
,AWS Service Catalog创建和使用标准化产品,,,,
,AWS Systems Manager了解运行状况并采取相应措施,,,,
,AWS Trusted Advisor优化性能和安全性,,,,
,AWS Well-Architected Tool检查并改进您的工作量,,,,
,,,,,
Media Services/媒体服务,Amazon Elastic Transcoder易用的可扩展媒体转码服务,,,,
,Amazon Interactive Video Service托管型直播视频解决方案,,,,
,Amazon Kinesis Video Streams处理和分析视频串流,,,,
,AWS Elemental MediaConnect可靠且安全的实时视频传输,,,,
,AWS Elemental MediaConvert转换基于文件的视频内容,,,,
,AWS Elemental MediaLive转换直播视频内容,,,,
,AWS Elemental MediaPackage视频发放和封装,,,,
,AWS Elemental MediaStore媒体存储和简单的 HTTP 发放,,,,
,AWS Elemental MediaTailor视频个性化和盈利,,,,
,AWS Elemental 设备和软件本地媒体解决方案,,,,
,,,,,
Migration & Transfer/迁移与传输,AWS Migration Hub从一个位置跟踪迁移活动,,,,
,AWS Application Discovery Service发现可用于简化迁移的本地应用程序,,,,
,AWS Database Migration Service以最短的停机时间迁移数据库,,,,
,AWS DataSync简单快速的在线数据传输,,,,
,AWS Server Migration Service将本地服务器迁移到 AWS,,,,
,AWS Snow 系列使用物理设备将数据传入或传出 AWS,,,,
,AWS Transfer 系列完全托管型 SFTP、FTPS 和 FTP 服务,,,,
,CloudEndure Migration自动实施到 AWS 云的大规模迁移,,,,
,Migration Evaluator（以前称为“TSO Logic”）创建云迁移的业务案例,,,,
,,,,,
Networking & Content Delivery/联网和内容分发,Amazon VPC隔离型云资源,,,,
,Amazon API Gateway构建、部署和管理 API,,,,
,Amazon CloudFront全球内容分发网络,,,,
,Amazon Route 53可扩展的域名系统 (DNS),,,,
,AWS App Mesh监控和控制微服务,,,,
,AWS Cloud Map用于查找发现云资源服务,,,,
,AWS Direct ConnectAWS 专用网络连接,,,,
,AWS Global Accelerator提高应用程序可用性和性能,,,,
,AWS PrivateLink安全使用 AWS 云端托管型服务,,,,
,AWS Transit Gateway轻松扩展 VPC 和账户连接,,,,
,AWS VPN安全地访问您的网络资源,,,,
,Elastic Load Balancing (ELB)在多个目标间分配传入流量,,,,
,,,,,
Quantum Technologies/量子技术,Amazon Braket探索和尝试量子计算,,,,
,Amazon Quantum 解决方案实验室与量子计算专家合作,,,,
,,,,,
Robotics/机器人技术,AWS RoboMaker开发、测试和部署机器人技术应用,,,,
,,,,,
Satellite/卫星,AWS Ground Station完全托管型地面站即服务,,,,
,,,,,
"Security, Identity, & Compliance/安全性、身份与合规性",AWS Identity and Access Management (IAM)安全地管理服务和资源的使用权限,,,,
,Amazon Cognito应用程序身份管理,,,,
,Amazon Detective调查潜在的安全问题,,,,
,Amazon GuardDuty托管型威胁侦测服务,,,,
,Amazon Inspector分析应用程序安全性,,,,
,Amazon Macie大规模发现和保护您的敏感数据,,,,
,AWS Artifact按需访问 AWS 合规性报告,,,,
,AWS Audit Manager持续审计您的 AWS 使用情况,,,,
,AWS Certificate Manager预置、管理和部署 SSL/TLS 证书,,,,
,AWS CloudHSM有助于实现监管合规的基于硬件的密钥存储,,,,
,AWS Directory Service托管并管理 Active Directory,,,,
,AWS Firewall Manager集中管理防火墙规则,,,,
,AWS Key Management Service管理型密钥创建和控制,,,,
,AWS Network Firewall保护您的 VPC 的网络安全,,,,
,AWS Resource Access Manager用于 AWS 资源共享且简捷安全的服务,,,,
,AWS Secrets Manager更改、管理和检索密钥,,,,
,AWS Security Hub一体化安全与合规中心,,,,
,AWS ShieldDDoS 保护,,,,
,AWS Single Sign-On云单点登录 (SSO) 服务,,,,
,AWS WAF过滤恶意 Web 流量,,,,
,,,,,
Serverless/无服务器,AWS Lambda无需考虑服务器即可运行代码,,,,
,Amazon API Gateway构建、部署和管理 API,,,,
,Amazon DynamoDB托管型 NoSQL 数据库,,,,
,Amazon EventBridge适用于 SaaS 应用程序和 AWS 服务的无服务器事件总线,,,,
,Amazon Simple Notification Service (SNS)发布/订阅短信、电子邮件和移动推送通知,,,,
,Amazon Simple Queue Service (SQS)托管型消息队列,,,,
,Amazon Simple Storage Service (S3)云中的可扩展存储,,,,
,AWS AppSync使用多个来源的恰当数据，为您的应用程序提供大规模支持,,,,
,AWS Fargate适用于容器的无服务器计算,,,,
,AWS Step Functions针对分布式应用程序的协调服务,,,,
,,,,,
Storage/存储,Amazon Simple Storage Service (S3)云端可扩展存储,,,,
,Amazon Elastic Block Store (EBS)EC2 Block Storage 卷,,,,
,Amazon Elastic File System (EFS)针对 EC2 的完全托管型文件系统,,,,
,Amazon FSx for Lustre与 S3 集成的高性能文件系统,,,,
,Amazon FSx for Windows File Server完全托管型 Windows 原生文件系统,,,,
,Amazon S3 Glacier云端低成本存档存储,,,,
,AWS Backup跨 AWS 服务进行集中备份,,,,
,AWS Snow 系列在恶劣环境或联接断开的环境中使用的物理边缘计算和存储设备,,,,
,AWS Storage Gateway混合存储集成,,,,
,CloudEndure Disaster Recovery高度自动化的灾难恢复,,,,
,,,,,
VR & AR/虚拟现实和增强现实,Amazon Sumerian构建和运行 VR 和 AR 应用程序,,,,
